,# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,References
TOI-700,TOI-700 d,Confirmed,0.00711,0.00164,0.0022,,,,0.09573,0.00482,0.00526,37.42396,0.00035,0.00039,0.1633,0.0027,0.0027,0.042,0.03,0.04,89.8,0.1,0.12,,2020,11/01/2023,10,140,120,,,,,,,2458816.995,0.0013,0.0013,,,,,,,0.29,0.18,0.14,,,,,,,295,55,55,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-700,97.09583334,-65.57944447,13,,,,,31.127,0.02,0.02,-0.07,0.11,0.11,0.416,0.01,0.01,0.42,0.031,0.031,M2V,1.5,0,10,3480,135,135,,,,
TOI-712,TOI-712 b,Confirmed,0.0176,0.0041,0.006,,,,0.1828,0.0071,0.0107,9.531361,1.80E-05,1.80E-05,0.07928,0.00091,0.00096,0.54,0.2,0.26,88.22,0.53,1.1,,2021,05/11/2021,68,77,88,,,,,,,245,,,,,,,,,0.41,0.28,0.32,,,,,,,650,6,6,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-712,92.93750002,-65.82583336,10.9,,,,,58.62,0.11,0.11,-0.02,0.043,0.12,0.732,0.027,0.027,0.674,0.017,0.017,,0.83,0.28,0.28,4622,61,61,,,,
TOI-712,TOI-712 c,Confirmed,0.0274,0.006,0.0098,,,,0.241,0.0071,0.008,51.69906,0.00017,0.00017,0.2447,0.003,0.003,0.089,0.056,0.083,89.78,0.11,0.14,,2021,05/11/2021,115,96,96,,,,,,,,,,,,,,,,0.28,0.19,0.16,,,,,,,370,3.4,3.4,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-712,92.93750002,-65.82583336,10.9,,,,,58.62,0.11,0.11,-0.02,0.043,0.12,0.732,0.027,0.027,0.674,0.017,0.017,,0.83,0.28,0.28,4622,61,61,,,,
TOI-712,TOI-712 d,Confirmed,0.0236,0.0053,0.0085,,,,0.22072,0.00732,0.008,84.8396,0.0004,0.00043,0.3405,0.004,0.004,0.073,0.05,0.064,89.82,0.07,0.1,,2021,05/11/2021,30,140,110,,,,,,,,,,,,,,,,0.34,0.21,0.14,,,,,,,313.6,2.9,2.9,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,,,,TOI-712,92.93750002,-65.82583336,10.9,,,,,58.62,0.11,0.11,-0.02,0.043,0.12,0.732,0.027,0.027,0.674,0.017,0.017,,0.83,0.28,0.28,4622,61,61,,,,
TRAPPIST-1,TRAPPIST-1 b,Confirmed,0.0027,0.0023,0.0023,,,,0.09689,0.00031,0.00031,1.51087081,6.00E-05,6.00E-05,0.01111,0.00034,0.00034,0,0,0.081,89.65,0.27,0.27,,2016,23/11/2022,,,,,,,,,,2457322.517,0.0001,0.0001,,,,8,32,32,0.126,0.078,0.092,,,,,,,400.1,7.7,7.7,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.007,0.007,0.117,0.004,0.004,M8,7.6,2.2,2.2,2560,55,55,,,2MASS J23062928-0502285,
TRAPPIST-1,TRAPPIST-1 c,Confirmed,0.00434,0.0019,0.0019,,,,0.09421,0.00031,0.00031,2.4218233,1.70E-06,1.70E-06,0.01521,0.00047,0.00047,0,0,0.083,89.67,0.17,0.17,,2016,23/11/2022,,,,,,,,,,2457282.807,0.00019,0.00019,,,,39,60,20,0.161,0.084,0.076,,,,,,,341.9,6.6,6.6,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.007,0.007,0.117,0.004,0.004,M8,7.6,2.2,2.2,2560,55,55,,,2MASS J23062928-0502285,
TRAPPIST-1,TRAPPIST-1 d,Confirmed,0.0013,0.00085,0.00085,,,,0.0689,0.0027,0.0027,4.04961,6.30E-05,6.30E-05,0.02144,0.00063,0.00066,0,0,0.7,89.75,0.16,0.16,,2016,23/11/2022,,,,,,,,,,2457670.142,0.00035,0.00035,,,,336,37,61,0.17,0.11,0.11,,,,,,,288,5.6,5.6,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.007,0.007,0.117,0.004,0.004,M8,7.6,2.2,2.2,2560,55,55,,,2MASS J23062928-0502285,
TRAPPIST-1,TRAPPIST-1 e,Confirmed,0.002,0.0018,0.0018,,,,0.0819,0.0035,0.0035,6.099615,1.10E-05,1.10E-05,0.02817,0.00087,0.00083,0,0.085,0.085,89.86,0.12,0.1,,2017,23/11/2022,,,,,,,,,,2457660.379,0.00038,0.00038,,,,44,31,22,0.12,0.09,0.11,,,,,,,251.3,4.9,4.9,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,2MASS J23062928-0502285 e,"CO2, H2O",TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.007,0.007,0.117,0.004,0.004,M8,7.6,2.2,2.2,2560,55,55,,,2MASS J23062928-0502285,
TRAPPIST-1,TRAPPIST-1 f,Confirmed,0.0021,0.00057,0.00057,,,,0.09323,0.0034,0.0034,9.20669,1.50E-05,1.50E-05,0.0371,0.0011,0.0011,0,0,0.063,89.68,0.034,0.034,,2017,23/11/2022,,,,,,,,,,2457671.398,0.00023,0.00023,,,,314,17,23,0.382,0.035,0.035,,,,,,,219,4.2,4.2,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.007,0.007,0.117,0.004,0.004,M8,7.6,2.2,2.2,2560,55,55,,,2MASS J23062928-0502285,
TRAPPIST-1,TRAPPIST-1 g,Confirmed,0.00422,0.0028,0.0028,,,,0.1005,0.0037,0.0037,12.35294,0.00012,0.00012,0.0451,0.0014,0.0014,0,0,0.061,89.71,0.025,0.025,,2017,23/11/2022,,,,,,,,,,2457665.349,0.00021,0.00021,,,,4,23,23,0.421,0.031,0.031,,,,,,,198.6,3.8,3.8,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.007,0.007,0.117,0.004,0.004,M8,7.6,2.2,2.2,2560,55,55,,,2MASS J23062928-0502285,
TRAPPIST-1,TRAPPIST-1 h,Confirmed,0.001041,0.000154,0.000176,,,,0.0674,0.003,0.003,20,6,15,0.063,0.013,0.027,,,,89.8,0.05,0.1,,2017,24/07/2019,,,,,,,,,,2457662.555,0.00056,0.00056,,,,,,,0.45,0.29,0.22,,,,,,,168,28,21,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,H2O,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.007,0.007,0.117,0.004,0.004,M8,7.6,2.2,2.2,2560,55,55,,,2MASS J23062928-0502285,
WASP-47,WASP-47 b,Confirmed,1.14243,0.02297,0.02297,,,,1.127,0.013,0.013,4.1591289,4.20E-06,4.20E-06,0.052,0.011,0.011,0.0028,0.0028,0.0028,88.98,0.2,0.2,0.00026,2012,05/02/2021,51,82,82,2455764.346,0.0002,0.0002,2457007.932,2.10E-05,2.10E-05,2456982.978,0.00032,0.00032,,,,,,,0.173,0.032,0.032,,,,140.64,0.44,0.44,1275,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"1SWASP J220448.72-120107.8 b, 2MASS J22044873-1201079 b, EPIC 206103150.01, K2-23 b, WISE J220448.74-120108.4  b",,WASP-47,331.203047,-12.018885,11.9,,10.613,10.31,,266.69,4.83,4.83,0.38,0.05,0.05,1.04,0.03,0.03,1.14,0.01,0.01,G9V,,,,5552,75,75,,,"1SWASP J220448.72-120107.8, 2MASS J22044873-1201079, EPIC 206103150, K2-23, WISE J220448.74-120108.4",
WASP-47,WASP-47 c,Confirmed,1.31,0.05,0.72,1.31,0.05,0.05,,,,596,2,2,1.41,0.3,0.3,0.28,0.02,0.02,87,45,45,,2015,16/12/2016,138,8,8,2455981,16,16,,,,,,,,,,,,,,,,,,,29.4,6.1,6.1,247,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,WASP-47,331.203047,-12.018885,11.9,,10.613,10.31,,266.69,4.83,4.83,0.38,0.05,0.05,1.04,0.03,0.03,1.14,0.01,0.01,G9V,,,,5552,75,75,,,"1SWASP J220448.72-120107.8, 2MASS J22044873-1201079, EPIC 206103150, K2-23, WISE J220448.74-120108.4",
WASP-47,WASP-47 d,Confirmed,0.04122,0.00472,0.00472,,,,0.319,0.004,0.004,9.03077,0.00017,0.00017,0.088,0.019,0.019,0.014,,,89.32,0.23,0.23,,2015,05/02/2021,76,106,106,,,,2457006.369,0.00039,0.00039,2456988.375,0.014,0.014,,,,,,,0.192,0.065,0.065,,,,3.93,0.43,0.43,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"1SWASP J220448.72-120107.8 d, 2MASS J22044873-1201079 d, EPIC 206103150 d, EPIC 206103150.02, K2-23 d, WISE J220448.74-120108.4 d",,WASP-47,331.203047,-12.018885,11.9,,10.613,10.31,,266.69,4.83,4.83,0.38,0.05,0.05,1.04,0.03,0.03,1.14,0.01,0.01,G9V,,,,5552,75,75,,,"1SWASP J220448.72-120107.8, 2MASS J22044873-1201079, EPIC 206103150, K2-23, WISE J220448.74-120108.4",
WASP-47,WASP-47 e,Confirmed,0.02149,0.00208,0.00208,,,,0.161,0.002,0.002,0.789592,1.20E-05,1.20E-05,0.0173,0.0038,0.0038,0.03,0.02,0.02,85.98,0.75,0.75,,2015,05/02/2021,81,146,146,,,,2457011.349,0.00033,0.00033,2456979.765,0.00094,0.00094,,,,,,,0.224,0.041,0.041,,,,4.61,0.44,0.44,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"1SWASP J220448.72-120107.8 e, 2MASS J22044873-1201079 e, EPIC 206103150 e, EPIC 206103150.03, K2-23 e, WISE J220448.74-120108.4 e",,WASP-47,331.203047,-12.018885,11.9,,10.613,10.31,,266.69,4.83,4.83,0.38,0.05,0.05,1.04,0.03,0.03,1.14,0.01,0.01,G9V,,,,5552,75,75,,,"1SWASP J220448.72-120107.8, 2MASS J22044873-1201079, EPIC 206103150, K2-23, WISE J220448.74-120108.4",
ups And,ups And b,Confirmed,0.62,0.09,inf,0.62,0.09,0.09,,,,4.61711,0.00018,0.00018,0.059,0.001,0.001,0.01186,0.006,0.006,90,0,90,0.00438,1996,16/08/2019,44.519,24,24,2450034.058,0.3,0.3,,,,,,,,,,,,,,,,,,,70.519,0.0368,0.0368,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 9826 b,,ups And,24.2,41.4105556,4.09,,,,,13.47,0.13,0.13,0.09,0.06,0.06,1.27,0.06,0.06,1.631,0.014,0.014,F8 V,3.8,1,1,6212,80,80,,,,
ups And,ups And c,Confirmed,9.1,2.93,5.04,1.8,0.26,0.26,,,,240.937,0.06,0.06,0.861,,,0.2445,0.1,0.1,11.347,3,3,0.06392,1999,16/08/2019,247.629,2.2,2.2,2449922.548,1.5,1.5,,,,,,,,,,,,,,,,,,,53.498,0.55,0.55,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 9826 c,,ups And,24.2,41.4105556,4.09,,,,,13.47,0.13,0.13,0.09,0.06,0.06,1.27,0.06,0.06,1.631,0.014,0.014,F8 V,3.8,1,1,6212,80,80,,,,
ups And,ups And d,Confirmed,23.58,2.29,2.93,10.19,,,,,,1281.439,2,2,2.55,,,0.316,0.07,0.006,25.609,3,3,0.18931,1999,16/08/2019,252.991,1.32,1.32,2450059.072,4.32,4.32,,,,,,,,,,,,,,,,,,,67.7,0.55,0.55,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 9826 d,,ups And,24.2,41.4105556,4.09,,,,,13.47,0.13,0.13,0.09,0.06,0.06,1.27,0.06,0.06,1.631,0.014,0.014,F8 V,3.8,1,1,6212,80,80,,,,
